GlyNet	V5.0	V5.1	V5.2	Gene ID	Glycan
1	1	1	1	7 Sp8	Gal(α-Sp8
2	2	2	2	8 Sp8	Glc(α-Sp8
3	3	3	3	9 Sp8	Man(α-Sp8
4	4	4	4	10 Sp8	GalNAc(α-Sp8
5	5	5	5	10 Sp15	GalNAc(α-Sp15
6	6	6	6	11 Sp8	Fuc(α-Sp8
7	7	7	7	11 Sp9	Fuc(α-Sp9
	8	8	8	12 Sp8	Rha(α-Sp8
8	9	9	9	13 Sp8	Neu5Ac(α-Sp8
9	10	10	10	13 Sp11	Neu5Ac(α-Sp11
10	11	11	11	14 Sp8	Neu5Ac(β-Sp8
11	12	12	12	15 Sp8	Gal(β-Sp8
12	13	13	13	16 Sp8	Glc(β-Sp8
13	14	14	14	17 Sp8	Man(β-Sp8
14	15	15	15	18 Sp8	GalNAc(β-Sp8
15	16	16	16	19 Sp0	GlcNAc(β-Sp0
16	17	17	17	19 Sp8	GlcNAc(β-Sp8
	18	18	18	20 Sp8	GlcN(Gc)(β-Sp8
17	19	19	19	21 Sp8	Gal(β1-4)GlcNAc(β1-6)[Gal(β1-4)GlcNAc(β1-3)]GalNAc(α-Sp8
18	20	20	20	21 Sp14	Gal(β1-4)GlcNAc(β1-6)[Gal(β1-4)GlcNAc(β1-3)]GalNAc(-Sp14
19	21	21	21	22 Sp8	GlcNAc(β1-6)[GlcNAc(β1-4)][GlcNAc(β1-3)]GlcNAc(-Sp8
20	22	22	22	23 Sp0	(6S)(3S)Gal(β1-4)(6S)GlcNAc(β-Sp0
21	23	23	23	24 Sp0	(6S)(3S)Gal(β1-4)GlcNAc(β-Sp0
22	24	24	24	25 Sp0	(3S)Gal(β1-4)[Fuc(α1-3)](6S)Glc(-Sp0
23	25	25	25	26 Sp8	(3S)Gal(β1-4)Glc(β-Sp8
24	26	26	26	27 Sp0	(3S)Gal(β1-4)(6S)Glc(β-Sp0
25	27	27	27	27 Sp8	(3S)Gal(β1-4)(6S)Glc(β-Sp8
26	28	28	28	29 Sp8	(3S)Gal(β1-3)[Fuc(α1-4)]GlcNAc(β-Sp8
27	29	29	29	30 Sp8	(3S)Gal(β1-3)GalNAc(α-Sp8
28	30	30	30	31 Sp0	(3S)Gal(β1-3)GlcNAc(β-Sp0
29	31	31	31	31 Sp8	(3S)Gal(β1-3)GlcNAc(β-Sp8
30	32	32	32	32 Sp0	(3S)Gal(β1-4)[Fuc(α1-3)]GlcNAc(-Sp0
31	33	33	33	32 Sp8	(3S)Gal(β1-4)[Fuc(α1-3)]GlcNAc(-Sp8
32	34	34	34	33 Sp0	(3S)Gal(β1-4)(6S)GlcNAc(β-Sp0
33	35	35	35	33 Sp8	(3S)Gal(β1-4)(6S)GlcNAc(β-Sp8
34	36	36	36	34 Sp0	(3S)Gal(β1-4)GlcNAc(β-Sp0
